Model,Image,Predicted VIN,Ground Truth,Exact Match,Confidence,Processing Time
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B44SA605478_train_371-VIN_-_SAL1A2B44SA605478_.jpg,,SAL1A2B44SA605478,False,0.0,0.02232980728149414
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW2SA605837_train_155-VIN_-_SAL1A2AW2SA605837_.jpg,,SAL1A2AW2SA605837,False,0.0,0.0077800750732421875
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW6SA606117_train_236-VIN_-_SAL1A2AW6SA606117_.jpg,,SAL1A2AW6SA606117,False,0.0,0.006589174270629883
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B44SA606100_train_378-VIN_-_SAL1A2B44SA606100_.jpg,,SAL1A2B44SA606100,False,0.0,0.005023956298828125
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW7SA606823_train_259-VIN_-_SAL1A2AW7SA606823_.jpg,,SAL1A2AW7SA606823,False,0.0,0.005881071090698242
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW5SA606822_train_221-VIN_-_SAL1A2AW5SA606822_.jpg,,SAL1A2AW5SA606822,False,0.0,0.005517005920410156
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SALKP9F43SA336234_test_2268-VIN_-_SALKP9F43SA336234_.jpg,,SALKP9F43SA336234,False,0.0,0.005398988723754883
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW6SA605484_train_227-VIN_-_SAL1A2AW6SA605484_.jpg,,SAL1A2AW6SA605484,False,0.0,0.005002021789550781
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B44SA606758_train_382-VIN_-_SAL1A2B44SA606758_.jpg,,SAL1A2B44SA606758,False,0.0,0.0045850276947021484
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B41SA606085_train_348-VIN_-_SAL1A2B41SA606085_.jpg,,SAL1A2B41SA606085,False,0.0,0.004662990570068359
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B45SA606090_train_390-VIN_-_SAL1A2B45SA606090_.jpg,,SAL1A2B45SA606090,False,0.0,0.006524801254272461
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW7SA606790_train_258-VIN_-_SAL1A2AW7SA606790_.jpg,,SAL1A2AW7SA606790,False,0.0,0.0055389404296875
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2A45SA606110_train_39-VIN_-_SAL1A2A45SA606110_2.jpg,,SAL1A2A45SA606110,False,0.0,0.004832029342651367
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BUXSA606795_train_531-VIN_-_SAL1A2BUXSA606795_.jpg,,SAL1A2BUXSA606795,False,0.0,0.005242109298706055
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW6SA605646_train_229-VIN_-_SAL1A2AW6SA605646_.jpg,,SAL1A2AW6SA605646,False,0.0,0.005266904830932617
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2A98SA606713_train_98-VIN_-_SAL1A2A98SA606713_.jpg,,SAL1A2A98SA606713,False,0.0,0.004957914352416992
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW6SA606649_train_239-VIN_-_SAL1A2AW6SA606649_.jpg,,SAL1A2AW6SA606649,False,0.0,0.0044977664947509766
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BU7SA606575_train_506-VIN_-_SAL1A2BU7SA606575_.jpg,,SAL1A2BU7SA606575,False,0.0,0.004914999008178711
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B45SA606834_train_394-VIN_-_SAL1A2B45SA606834_.jpg,,SAL1A2B45SA606834,False,0.0,0.0044977664947509766
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2B47SA605782_train_411-VIN_-_SAL1A2B47SA605782_.jpg,,SAL1A2B47SA605782,False,0.0,0.004662752151489258
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2AW8SA605454_train_263-VIN_-_SAL1A2AW8SA605454_2.jpg,,SAL1A2AW8SA605454,False,0.0,0.0044820308685302734
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2BUXSA605565_train_523-VIN_-_SAL1A2BUXSA605565_.jpg,,SAL1A2BUXSA605565,False,0.0,0.004498004913330078
🎯 Fine-tuned: vin_rec_finetune/epoch_25,SAL1A2A46SA606780_train_45-VIN_-_SAL1A2A46SA606780_.jpg,,SAL1A2A46SA606780,False,0.0,0.004626035690307617
